               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.7473,              4.0591,              3.9854,            0.081718,              0.2894,            0.043877,            0.011746,                   0,                   0,                   0,            0.066737,          3.3297e-05,          3.3297e-05
                   1,              3.7229,              3.0263,               3.409,             0.25153,             0.36113,             0.19719,            0.067842,                   0,                   0,                   0,            0.033436,            6.63e-05,            6.63e-05
                   2,              3.1683,              2.6224,              3.0264,             0.39202,             0.48462,             0.36889,             0.13962,                   0,                   0,                   0,          0.00013568,          9.8974e-05,          9.8974e-05
                   3,              2.8914,              2.3978,              2.7965,             0.39452,             0.49189,             0.40861,             0.16655,                   0,                   0,                   0,          9.8515e-05,          9.8515e-05,          9.8515e-05
                   4,              2.7551,              2.2585,              2.6517,             0.51145,             0.55784,             0.51911,             0.22062,                   0,                   0,                   0,          9.8515e-05,          9.8515e-05,          9.8515e-05
                   5,              2.6146,              2.1257,              2.5424,             0.57175,             0.56454,             0.54543,             0.23218,                   0,                   0,                   0,           9.802e-05,           9.802e-05,           9.802e-05
                   6,              2.5587,              2.0682,              2.4617,             0.60505,             0.60656,             0.59116,             0.27032,                   0,                   0,                   0,          9.7525e-05,          9.7525e-05,          9.7525e-05
                   7,              2.4747,              2.0014,              2.3906,             0.61956,              0.5922,             0.59928,             0.27614,                   0,                   0,                   0,           9.703e-05,           9.703e-05,           9.703e-05
                   8,               2.422,              1.9512,              2.3298,             0.59212,             0.61835,             0.62074,             0.29275,                   0,                   0,                   0,          9.6535e-05,          9.6535e-05,          9.6535e-05
                   9,              2.3856,              1.9162,              2.3008,             0.60194,              0.6368,              0.6253,             0.30063,                   0,                   0,                   0,           9.604e-05,           9.604e-05,           9.604e-05
                  10,              2.3501,              1.8862,               2.269,             0.59204,             0.64643,             0.63385,             0.30589,                   0,                   0,                   0,          9.5545e-05,          9.5545e-05,          9.5545e-05
                  11,              2.3388,              1.8736,              2.2336,             0.59923,             0.61168,             0.63882,             0.31866,                   0,                   0,                   0,           9.505e-05,           9.505e-05,           9.505e-05
                  12,               2.267,               1.826,              2.1876,             0.65562,             0.63085,             0.67467,             0.33792,                   0,                   0,                   0,          9.4555e-05,          9.4555e-05,          9.4555e-05
                  13,              2.2782,              1.8296,              2.1663,              0.6547,             0.66019,             0.68386,             0.34533,                   0,                   0,                   0,           9.406e-05,           9.406e-05,           9.406e-05
                  14,              2.2231,              1.7878,              2.1429,             0.67415,              0.6549,             0.68291,              0.3476,                   0,                   0,                   0,          9.3565e-05,          9.3565e-05,          9.3565e-05
                  15,              2.1911,              1.7344,              2.1016,             0.71013,             0.65093,             0.68641,             0.33903,                   0,                   0,                   0,           9.307e-05,           9.307e-05,           9.307e-05
                  16,                2.18,              1.7383,              2.0834,             0.72366,              0.6717,             0.71604,             0.37675,                   0,                   0,                   0,          9.2575e-05,          9.2575e-05,          9.2575e-05
                  17,              2.1571,              1.7186,              2.0654,             0.70546,             0.70034,             0.72288,             0.36962,                   0,                   0,                   0,           9.208e-05,           9.208e-05,           9.208e-05
                  18,              2.1455,              1.6946,              2.0535,             0.69774,             0.69563,             0.71287,             0.36576,                   0,                   0,                   0,          9.1585e-05,          9.1585e-05,          9.1585e-05
                  19,              2.1295,              1.6899,              2.0314,             0.68281,             0.65618,             0.68854,              0.3523,                   0,                   0,                   0,           9.109e-05,           9.109e-05,           9.109e-05
                  20,              2.0994,              1.6809,              2.0186,             0.67663,             0.69472,             0.70498,              0.3643,                   0,                   0,                   0,          9.0595e-05,          9.0595e-05,          9.0595e-05
                  21,              2.0877,              1.6698,              2.0092,             0.72558,             0.67888,             0.71531,             0.37703,                   0,                   0,                   0,            9.01e-05,            9.01e-05,            9.01e-05
                  22,               2.094,              1.6704,               2.007,             0.73684,             0.72229,             0.75527,             0.40999,                   0,                   0,                   0,          8.9605e-05,          8.9605e-05,          8.9605e-05
                  23,              2.0512,              1.6063,              1.9608,             0.72347,             0.71458,              0.7356,             0.39153,                   0,                   0,                   0,           8.911e-05,           8.911e-05,           8.911e-05
                  24,              2.0558,              1.6225,              1.9727,             0.72454,             0.69671,             0.71919,             0.38212,                   0,                   0,                   0,          8.8615e-05,          8.8615e-05,          8.8615e-05
                  25,               2.056,              1.6119,              1.9545,              0.7333,             0.70131,             0.73387,             0.39673,                   0,                   0,                   0,           8.812e-05,           8.812e-05,           8.812e-05
                  26,              2.0491,              1.6178,              1.9664,             0.75106,             0.72706,             0.76496,             0.41786,                   0,                   0,                   0,          8.7625e-05,          8.7625e-05,          8.7625e-05
                  27,               2.025,              1.6009,              1.9479,             0.74742,             0.70812,             0.74623,             0.39599,                   0,                   0,                   0,           8.713e-05,           8.713e-05,           8.713e-05
                  28,              2.0057,              1.5778,              1.9183,             0.75369,              0.7119,             0.74791,             0.40234,                   0,                   0,                   0,          8.6635e-05,          8.6635e-05,          8.6635e-05
                  29,              2.0147,              1.5829,              1.9159,              0.7409,             0.73641,             0.77216,             0.41773,                   0,                   0,                   0,           8.614e-05,           8.614e-05,           8.614e-05
                  30,              1.9722,              1.5375,              1.9005,             0.73948,             0.72377,             0.76889,              0.4198,                   0,                   0,                   0,          8.5645e-05,          8.5645e-05,          8.5645e-05
                  31,              1.9842,              1.5535,              1.9011,             0.75303,             0.71722,             0.75749,             0.41055,                   0,                   0,                   0,           8.515e-05,           8.515e-05,           8.515e-05
                  32,              1.9711,               1.552,              1.9021,             0.72084,             0.70505,             0.74189,             0.39738,                   0,                   0,                   0,          8.4655e-05,          8.4655e-05,          8.4655e-05
                  33,               1.969,              1.5299,               1.878,             0.76593,             0.71002,             0.76694,             0.41595,                   0,                   0,                   0,           8.416e-05,           8.416e-05,           8.416e-05
                  34,               1.951,              1.5224,              1.8807,             0.74685,             0.72571,             0.76078,             0.41892,                   0,                   0,                   0,          8.3665e-05,          8.3665e-05,          8.3665e-05
                  35,              1.9409,              1.5115,              1.8784,             0.76679,              0.7308,             0.76916,             0.41972,                   0,                   0,                   0,           8.317e-05,           8.317e-05,           8.317e-05
                  36,              1.9587,              1.5264,              1.8755,              0.7555,             0.71813,             0.76511,             0.43185,                   0,                   0,                   0,          8.2675e-05,          8.2675e-05,          8.2675e-05
                  37,              1.9265,              1.4973,               1.863,             0.74764,             0.72482,             0.76008,             0.41392,                   0,                   0,                   0,           8.218e-05,           8.218e-05,           8.218e-05
                  38,              1.9347,              1.5014,              1.8552,              0.7719,             0.71609,             0.76794,             0.43012,                   0,                   0,                   0,          8.1685e-05,          8.1685e-05,          8.1685e-05
                  39,              1.9166,              1.4862,              1.8495,             0.75748,             0.73319,             0.77474,             0.43506,                   0,                   0,                   0,           8.119e-05,           8.119e-05,           8.119e-05
                  40,              1.8968,              1.4493,              1.8352,             0.74632,             0.72897,              0.7721,             0.42558,                   0,                   0,                   0,          8.0695e-05,          8.0695e-05,          8.0695e-05
                  41,              1.9013,              1.4622,              1.8283,             0.77249,             0.72304,             0.77736,              0.4423,                   0,                   0,                   0,            8.02e-05,            8.02e-05,            8.02e-05
                  42,              1.8857,              1.4623,               1.827,             0.76619,             0.74039,             0.77616,             0.44207,                   0,                   0,                   0,          7.9705e-05,          7.9705e-05,          7.9705e-05
                  43,              1.8933,              1.4512,              1.8295,             0.78672,             0.72817,             0.78305,             0.43802,                   0,                   0,                   0,           7.921e-05,           7.921e-05,           7.921e-05
                  44,              1.8839,              1.4532,              1.8211,             0.74224,              0.7423,             0.77456,             0.44488,                   0,                   0,                   0,          7.8715e-05,          7.8715e-05,          7.8715e-05
                  45,              1.8592,              1.4506,              1.8111,             0.75463,              0.7336,             0.76681,             0.43462,                   0,                   0,                   0,           7.822e-05,           7.822e-05,           7.822e-05
                  46,              1.8683,              1.4381,              1.8181,             0.77316,             0.70873,             0.76288,             0.43542,                   0,                   0,                   0,          7.7725e-05,          7.7725e-05,          7.7725e-05
